T_K,barrier_eV,TST_s^-1,timescale_s,Arrhenius_s^-1
6.000000000000000000e+02,6.000000000000000888e-01,1.140775849249439538e+08,8.765963976691290101e-09,9.124767652584894001e+07
6.000000000000000000e+02,7.000000000000000666e-01,1.649063151751710847e+07,6.064049147770683585e-08,1.319042484470013715e+07
6.000000000000000000e+02,8.000000000000000444e-01,2.383824377290674951e+06,4.194939902143905250e-07,1.906758771379728569e+06
6.000000000000000000e+02,9.000000000000000222e-01,3.445967885298356414e+05,2.901942308476907778e-06,2.756339583477753913e+05
6.000000000000000000e+02,1.000000000000000000e+00,4.981363048230815912e+04,2.007482671545412833e-05,3.984462016634032625e+04
6.000000000000000000e+02,1.100000000000000089e+00,7.200873207247225764e+03,1.388720466558920755e-04,5.759790142391726476e+03
6.000000000000000000e+02,1.200000000000000178e+00,1.040931456808134726e+03,9.606780479728750958e-04,8.326138471365962914e+02
6.000000000000000000e+02,1.300000000000000044e+00,1.504731810417370639e+02,6.645702530357405421e-03,1.203595619467719331e+02
6.000000000000000000e+02,1.400000000000000133e+00,2.175184356734527924e+01,4.597311473411105215e-02,1.739873075836826288e+01
6.000000000000000000e+02,1.500000000000000000e+00,3.144365629161686826e+00,3.180291727926717327e-01,2.515095827085717328e+00
6.000000000000000000e+02,1.600000000000000089e+00,4.545378040827814381e-01,2.200037028862571464e+00,3.635729012233532287e-01
6.000000000000000000e+02,1.700000000000000178e+00,6.570629491185484006e-02,1.521924195149798820e+01,5.255674677697345226e-02
6.000000000000000000e+02,1.800000000000000044e+00,9.498257685640986228e-03,1.052824668582904764e+02,7.597407899446316504e-03
6.000000000000000000e+02,1.900000000000000133e+00,1.373032814951195228e-03,7.283147125915888864e+02,1.098253037531194071e-03
6.000000000000000000e+02,2.000000000000000000e+00,1.984805185674000502e-04,5.038277848213198013e+03,1.587593756199934042e-04
6.000000000000000000e+02,2.100000000000000089e+00,2.869160578087425159e-05,3.485339954958524322e+04,2.294966504614295914e-05
6.000000000000000000e+02,2.200000000000000178e+00,4.147551851571526842e-06,2.411060875878128572e+05,3.317518248439290471e-06
6.000000000000000000e+02,2.300000000000000266e+00,5.995546743828931503e-07,1.667904601076249499e+06,4.795681029156202186e-07
6.000000000000000000e+02,2.400000000000000355e+00,8.666939448585225525e-08,1.153809837869858555e+07,6.932458184436032917e-08
6.000000000000000000e+02,2.500000000000000000e+00,1.252860541580426747e-08,7.981734333643753827e+07,1.002130379121776067e-08
6.000000000000000000e+02,2.600000000000000089e+00,1.811088615492077888e-09,5.521540975112899542e+08,1.448642415201882919e-09
6.000000000000000000e+02,2.700000000000000178e+00,2.618042363300395901e-10,3.819647894235618591e+09,2.094103612507038376e-10
6.000000000000000000e+02,2.800000000000000266e+00,3.784544697263851237e-11,2.642325774941909409e+10,3.027158320021898836e-11
6.000000000000000000e+02,2.900000000000000355e+00,5.470797098765102160e-12,1.827887201712754822e+11,4.375947512695961760e-12
6.000000000000000000e+02,3.000000000000000000e+00,7.908380872736314002e-13,1.264481334538959961e+12,6.325707019423988024e-13
1.000000000000000000e+03,0.000000000000000000e+00,2.083661912798179297e+13,4.799243072294227152e-14,1.000000000000000000e+13
1.000000000000000000e+03,1.000000000000000056e-01,6.529041586086358398e+12,1.531618365138060833e-13,3.133445760074586914e+12
1.000000000000000000e+03,2.000000000000000111e-01,2.045839767527295410e+12,4.887968333945577111e-13,9.818482331329404297e+11
1.000000000000000000e+03,3.000000000000000444e-01,6.410527945350379639e+11,1.559933922018560205e-12,3.076568183147135620e+11
1.000000000000000000e+03,4.000000000000000222e-01,2.008704161019780884e+11,4.978333890105146446e-12,9.640259529062771606e+10
1.000000000000000000e+03,5.000000000000000000e-01,6.294165536591611481e+10,1.588772958363461687e-11,3.020723034736036682e+10
1.000000000000000000e+03,6.000000000000000888e-01,1.972242631384055328e+10,5.070370065463156408e-11,9.465271785553264618e+09
1.000000000000000000e+03,7.000000000000000666e-01,6.179915311148715019e+09,1.618145151918143793e-10,2.965891574439549446e+09
1.000000000000000000e+03,8.000000000000000444e-01,1.936442942933897972e+09,5.164107745332808314e-10,9.293460378768554926e+08
1.000000000000000000e+03,9.000000000000000222e-01,6.067738929162572622e+08,1.648060359343794461e-09,2.912055402027346492e+08
1.000000000000000000e+03,1.000000000000000000e+00,1.901293082082399130e+08,5.259578386014773895e-09,9.124767652584894001e+07
1.000000000000000000e+03,1.100000000000000089e+00,5.957598746710231900e+07,1.678528619525101349e-08,2.859196451265785098e+07
1.000000000000000000e+03,1.200000000000000178e+00,1.866781253310483322e+07,5.356814025353188206e-08,8.959136997439071536e+06
1.000000000000000000e+03,1.300000000000000044e+00,5.849457803172461689e+06,1.709560156939073242e-07,2.807296983855284285e+06
1.000000000000000000e+03,1.400000000000000133e+00,1.832895875208593905e+06,5.455847293486839659e-07,8.796512831331508933e+05
1.000000000000000000e+03,1.500000000000000000e+00,5.743279808830572292e+05,1.741165385086151146e-06,2.756339583477744018e+05
1.000000000000000000e+03,1.600000000000000089e+00,1.799625576590215787e+05,5.556711423799158777e-06,8.636840581174097315e+04
1.000000000000000000e+03,1.700000000000000178e+00,5.639029132688380196e+04,1.773354909984752511e-05,2.706307149952003238e+04
1.000000000000000000e+03,1.800000000000000044e+00,1.766959192675949453e+04,5.659440264070628575e-05,8.480066664476651567e+03
1.000000000000000000e+03,1.900000000000000133e+00,5.536670790515274348e+03,1.806139533730403036e-04,2.657182893495423286e+03
1.000000000000000000e+03,2.000000000000000000e+00,1.734885761346891059e+03,5.764068287837251442e-04,8.326138471365962914e+02
1.000000000000000000e+03,2.100000000000000089e+00,5.436170433106173050e+02,1.839530258120715368e-03,2.608950329089551019e+02
1.000000000000000000e+03,2.200000000000000178e+00,1.703394519465938117e+02,5.870630605959258411e-03,8.175004346930857935e+01
1.000000000000000000e+03,2.300000000000000266e+00,5.337494334754818226e+01,1.873538288347308817e-02,2.561593270948174705e+01
1.000000000000000000e+03,2.400000000000000355e+00,1.672474899265962733e+01,5.979162978403399636e-02,8.026613573888155884e+00
1.000000000000000000e+03,2.500000000000000000e+00,5.240609381936125466e+00,1.908175036756037390e-01,2.515095827085708002e+00
1.000000000000000000e+03,2.600000000000000089e+00,1.642116524803481026e+00,6.089701826243263394e-01,7.880916355562976872e-01
1.000000000000000000e+03,2.700000000000000178e+00,5.145483062193887402e-01,1.943452126676768144e+00,2.469442393984129791e-01
1.000000000000000000e+03,2.800000000000000266e+00,1.612309208476699340e-01,6.202284243881447168e+00,7.737863799177988056e-02
1.000000000000000000e+03,2.900000000000000355e+00,5.052083453230531152e-02,1.979381396323836739e+01,2.424617651356892473e-02
1.000000000000000000e+03,3.000000000000000000e+00,1.583042947606819878e-02,6.316948011497473203e+01,7.597407899446263595e-03
1.500000000000000000e+03,0.000000000000000000e+00,3.125492869197268750e+13,3.199495381529484768e-14,1.000000000000000000e+13
1.500000000000000000e+03,1.000000000000000056e-01,1.441893885099830859e+13,6.935323121442907497e-14,4.613332826032514648e+12
1.500000000000000000e+03,2.000000000000000111e-01,6.651936391786604492e+12,1.503321651173239723e-13,2.128283976374914795e+12
1.500000000000000000e+03,3.000000000000000444e-01,3.068759651290941895e+12,3.258645555963719084e-13,9.818482331329400635e+11
1.500000000000000000e+03,4.000000000000000222e-01,1.415720963450459961e+12,7.063538831569987976e-13,4.529592684094219360e+11
1.500000000000000000e+03,5.000000000000000000e-01,6.531191993188386230e+11,1.531114076944814565e-12,2.089651861808859253e+11
1.500000000000000000e+03,6.000000000000000888e-01,3.013056241529668579e+11,3.318889260070100593e-12,9.640259529062762451e+10
1.500000000000000000e+03,7.000000000000000666e-01,1.390023126573097534e+11,7.194124909744174334e-12,4.447372573689800262e+10
1.500000000000000000e+03,8.000000000000000444e-01,6.412639318764022064e+10,1.559420310875586280e-11,2.051720988379987335e+10
1.500000000000000000e+03,9.000000000000000222e-01,2.958363947076085663e+10,3.380246710308767923e-11,9.465271785553274155e+09
1.500000000000000000e+03,1.000000000000000000e+00,1.364791750839722633e+10,7.327125177776936741e-11,4.366644903561232567e+09
1.500000000000000000e+03,1.100000000000000089e+00,6.296238584847273827e+09,1.588249851914175320e-10,2.014478627322659254e+09
1.500000000000000000e+03,1.200000000000000178e+00,2.904664414400841236e+09,3.442738496888545941e-10,9.293460378768538237e+08
1.500000000000000000e+03,1.300000000000000044e+00,1.340018369156392813e+09,7.462584267628726184e-10,4.287382583280551434e+08
1.500000000000000000e+03,1.400000000000000133e+00,6.181950729915740490e+08,1.617612374619540028e-09,1.977912280920823812e+08
1.500000000000000000e+03,1.500000000000000000e+00,2.851939623123598695e+08,3.506385590676515792e-09,9.124767652584894001e+07
1.500000000000000000e+03,1.600000000000000089e+00,1.315694668121888787e+08,7.600547636386392438e-09,4.209559014158951491e+07
1.500000000000000000e+03,1.700000000000000178e+00,6.069737401482661068e+07,1.647517732407548437e-08,1.942009678314055130e+07
1.500000000000000000e+03,1.800000000000000044e+00,2.800171879965729639e+07,3.571209350235453069e-08,8.959136997439086437e+06
1.500000000000000000e+03,1.900000000000000133e+00,1.291812485237907059e+07,7.741061581517651174e-08,4.133148080320809502e+06
1.500000000000000000e+03,2.000000000000000000e+00,5.959560943226686679e+06,1.677975960857562312e-07,1.906758771379728569e+06
1.500000000000000000e+03,2.100000000000000089e+00,2.749343812812890857e+06,3.637231528991226969e-07,8.796512831331508933e+05
1.500000000000000000e+03,2.200000000000000178e+00,1.268363806169909658e+06,7.884173256407478132e-07,4.058124139939784654e+05
1.500000000000000000e+03,2.300000000000000266e+00,5.851384382355181733e+05,1.708997281080174263e-06,1.872147730689916352e+05
1.500000000000000000e+03,2.400000000000000355e+00,2.699438364885313786e+05,3.704474282532786211e-06,8.636840581174066756e+04
1.500000000000000000e+03,2.500000000000000000e+00,1.245340762057699467e+05,8.029930686181681486e-06,3.984462016634018801e+04
1.500000000000000000e+03,2.600000000000000089e+00,5.745171417197128176e+04,1.740592103147142744e-05,1.838164941541741791e+04
1.500000000000000000e+03,2.700000000000000178e+00,2.650438789013924179e+04,3.772960176047085717e-05,8.480066664476651567e+03
1.500000000000000000e+03,2.800000000000000266e+00,1.222735626874779700e+04,8.178382783823227669e-05,3.912136991017417131e+03
1.500000000000000000e+03,2.900000000000000355e+00,5.640886405020862185e+03,1.772771029584846913e-04,1.804799000059670789e+03
1.500000000000000000e+03,3.000000000000000000e+00,2.602328642020336247e+03,3.842712191891501142e-04,8.326138471365962914e+02
